,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
115,2019,As Hiper Mulheres,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,15.0,166.0
116,2019,As Loucuras De Rose,Ficção,Reino Unido,Estrangeira,Diamond Films,Distribuição Nacional,1447.0,22428.0
117,2019,As Montanhas Se Separam,Ficção,"China, França, Japão",Estrangeira,Imovision,Distribuição Nacional,27.0,175.0
118,2019,As Panteras,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,453400.0,6866235.0
119,2019,As Rainhas Da Torcida,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,13493.0,245774.0
120,2019,As Trapaceiras,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,90457.0,1581720.0
121,2019,As Viúvas,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,271.0,4376.0
122,2019,Asako I & Ii,Ficção,"França, Japão",Estrangeira,Zeta Filmes,Distribuição Nacional,1937.0,23600.0
123,2019,Aspirantes,Ficção,Brasil,Brasileira,Ciclorama Filmes,Distribuição Nacional,382.0,5223.0
124,2019,Assunto De Família,Ficção,Japão,Estrangeira,Imovision,Distribuição Nacional,60226.0,971384.0
126,2019,Ayka,Ficção,"Alemanha, Cazaquistão, China, França, Polônia, Rússia",Estrangeira,Zeta Filmes,Distribuição Nacional,1512.0,18670.0
127,2019,Azougue Nazaré,Ficção,Brasil,Brasileira,Inquieta Cinema Cultura e Comunicação,Distribuição Nacional,4145.0,36555.0
128,2019,B.O.,Ficção,Brasil,Brasileira,Raccord Produções,Distribuição Nacional,786.0,11535.0
129,2019,Bacurau,Ficção,"França, Brasil",Brasileira,Vitrine Filmes,Distribuição Nacional,735191.0,11284729.0
130,2019,Baronesa,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,152.0,880.0
131,2019,Bate Coração,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,5864.0,94671.0
132,2019,Beatriz,Ficção,"Portugal, Brasil",Brasileira,Anagrama Filmes,Distribuição Nacional,1217.0,16103.0
133,2019,Benzinho,Ficção,"Brasil, Uruguai",Brasileira,Vitrine Filmes,Distribuição Nacional,355.0,2347.0
134,2019,Bio,Ficção,Brasil,Brasileira,Bretz Filmes,Distribuição Nacional,896.0,13374.0
135,2019,Bixa Travesty,Documentário,Brasil,Brasileira,Arteplex,Distribuição Nacional,6591.0,43560.0
136,2019,Blitz,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,253.0,2391.0
137,2019,Boas Intenções,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,6491.0,99950.0
138,2019,Bohemian Rhapsody,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,174442.0,3537075.0
139,2019,Border,Ficção,"Dinamarca, Suécia",Estrangeira,Arteplex,Distribuição Nacional,29347.0,513889.0
140,2019,Borrasca,Ficção,Brasil,Brasileira,Fênix Filmes/Tucumán,Distribuição Nacional,309.0,4358.0
141,2019,Brightburn - Filho Das Trevas,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,77584.0,1162959.0
142,2019,Brincando Com Fogo,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,310681.0,4080813.0
143,2019,Brinquedo Assassino,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,270135.0,4006857.0
144,2019,Brooklyn Sem Pai Nem Mãe,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,10270.0,234797.0
145,2019,Bruna Surfistinha,Ficção,Brasil,Brasileira,Imagem/RioFilme,Distribuição Nacional,19.0,95.0
146,2019,Bumblebee,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,895771.0,12929065.0
147,2019,Cachorros,Ficção,"Chile, França",Estrangeira,Imovision,Distribuição Nacional,10.0,56.0
148,2019,Cadáver,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,2332.0,23052.0
149,2019,"Cadê Você, Bernadette?",Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,28825.0,629229.0
150,2019,Cafarnaum,Ficção,Líbano,Estrangeira,Sony,Distribuição Internacional,56099.0,894546.0
151,2019,Calmaria,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,24033.0,486033.0
152,2019,Caminhos Magnéticos,Ficção,"Portugal, Brasil",Brasileira,Esfera Produções,Distribuição Nacional,92.0,1082.0
153,2019,Camocim,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,55.0,165.0
154,2019,Capitã Marvel,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,8991777.0,146759329.0
155,2019,Carcereiros - O Filmes,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,193356.0,2621887.0
156,2019,Carros 3,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,50.0,365.0
157,2019,Carta Para Além Dos Muros,Documentário,Brasil,Brasileira,Descoloniza Filmes,Distribuição Nacional,3898.0,45935.0
159,2019,Carvana,Documentário,Brasil,Brasileira,Mac Comunicação,Distribuição Nacional,22.0,84.0
160,2019,Casal Improvável,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,129350.0,2413461.0
161,2019,Cats,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Universal,Distribuição Internacional,44063.0,916398.0
162,2019,Caverna Dos Sonhos Esquecidos,Documentário,"Alemanha, Canadá, Estados Unidos, França, Reino Unido",Estrangeira,Zeta Filmes,Distribuição Nacional,70.0,1035.0
163,2019,Cemitério Maldito,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,550885.0,8395749.0
164,2019,Central Do Brasil,Ficção,Brasil,Brasileira,Videofilmes,Distribuição Nacional,263.0,2652.0
165,2019,Cezanne E Eu,Ficção,"Bélgica, França",Estrangeira,Bretz Filmes,Distribuição Nacional,19150.0,337341.0
166,2019,Chega De Fiu Fiu,Documentário,Brasil,Brasileira,Taturana,Distribuição Nacional,164.0,799.0
167,2019,Chorar De Rir,Ficção,Brasil,Brasileira,Warner,Distribuição Internacional,82715.0,1250625.0
